_id,name,_id_r,_id_n,_id_c,name_r,name_n,name_c,vector,component
G013,pJ2-PBAD-PCin-E11,G001,G007,G010,P11-34-sGFP_A,pJ1-PBAD-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G014,pJ2-PBAD-PCin-E11,G002,G007,G010,P11-34-mCherry_A,pJ1-PBAD-E11-N_B,pJ1-PCin-E11-C_C*,2A,gate
G015,pJ2-PBAD-PCin-E20,G003,G008,G011,P20-34-sGFP_A,pJ1-PBAD-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G016,pJ2-PBAD-PCin-E20,G004,G008,G011,P20-34-mCherry_A,pJ1-PBAD-E20-N_B,pJ1-PCin-E20-C_C*,2A,gate
G017,pJ2-PBAD-PCin-E38,G005,G009,G012,P38-34-sGFP_A,pJ1-PBAD-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
G018,pJ2-PBAD-PCin-E38,G006,G009,G012,P38-34-mCherry_A,pJ1-PBAD-E38-N_B,pJ1-PCin-E38-C_C*,2A,gate
